percent_population_change,percent_people_over_65,percent_african_american,percent_hispanic,percent_hs_grad,percent_bachelor,rate_homeownership,median_house_value,median_hh_income,percent_poverty,percent_vote_difference
1.5,17.5,0.7,4,75.5,8.2,74.5,87300,35430,25.1,8.1
-2,19.3,5.5,1.5,84,16.8,72.9,86600,37127,21.4,13.3
2.9,15.9,4.1,2.6,86.1,27.7,65.6,114800,39677,20.1,3.2
1.7,13.8,3.1,1.8,88.5,28.5,70,146300,54306,13,-2.2
-2.5,19.9,1.5,2.4,82.9,15.5,80.8,73800,39049,16.2,15
0,14.7,1.9,7,74.8,9.5,62.9,99500,40160,29.9,23.7
-1.8,16.5,0.7,1.2,75.5,10.4,79.7,74500,36406,20.3,24.7
-0.4,18.8,0.7,2.9,69.7,8.4,80.8,70400,29934,26.8,5.8
0.4,11.1,21.1,7.6,85.2,15.1,52.5,101700,38904,20.5,4.1
0.4,16.3,5.1,2.8,82.5,19.4,64.8,141000,45853,15.4,2.6
-2.7,13.5,4.3,2,63.6,9,75.6,57800,21883,37.7,3.6
-1,18.2,0.6,2.8,67.7,7,75.6,68000,27100,24.4,5.3
-1,19.3,1,0.9,79,11.4,78.5,72500,34261,20.8,10.7
-1.6,20.7,2.8,1.1,73,13.9,75.5,63400,31593,23.6,5.2
1.7,16,5,2.8,88,18.8,70.2,110500,46555,15.2,6
-1.2,19.3,1.8,1,78.9,9.8,76.5,90600,37646,16.1,13.9
-2.3,18.3,3.5,1,70,7.7,79,71400,24246,31.8,49.7
-1.5,17.1,0.3,0.9,72.7,8.3,69.7,71900,29184,27.2,5.8
5.1,11.7,15,6.9,88.6,40.1,55.2,165800,48398,18.9,-13.5
1.3,16.2,1.6,1.3,76,12.8,78.5,78700,32495,22.2,15.6
-3.4,16,1,0.7,73.6,12.8,69.2,70000,30476,28.9,10.5
1.2,16.3,11.1,3,86.1,26.8,62.3,139300,46071,16.6,2
-8,19.4,24.3,1.5,76.5,13.1,60.4,60400,33582,22.2,13.3
0,12.3,1.8,5.1,75.2,8.8,68.3,98400,43793,20.7,27.5
-0.3,16.4,2.2,2.3,80.5,15.2,79,121400,44652,19.1,3.4
0.9,12.6,1,2.5,82.4,10.9,73.5,124300,46159,18,15.6
1.3,17.2,4.7,6,80.8,16.9,76.2,85900,38394,18.6,10.7
1.7,16.2,1.2,1.4,76,9.5,72.3,87700,32399,23.3,12.6
-1.9,19.6,2.2,1.4,76.3,12,76.7,70100,34406,21.9,9.6
-1.6,19.1,1,1.1,82.9,15.7,76.4,92000,44060,17.9,21.5
2.2,16.1,1.3,1.4,86.8,11.5,80.3,90800,51189,14.2,21.4
2.6,12.3,12.8,5.7,88.1,20.8,62.9,140600,48687,15.8,5
-3.8,16.3,2.3,0.8,71,10.6,69.8,52000,25906,31.3,4.7
-1.4,16.5,2.3,2.1,80,14.2,66.1,109400,36048,23.1,9.9
2.2,16.2,4.8,1.7,71.2,8.8,73.8,78900,33408,26.6,14
0.5,15.7,7.9,2.3,85,16.4,68,99400,41940,17.7,11.6
1,16,2.9,3.2,79.5,12.8,72,123300,46016,17.1,15.7
-3.4,23.6,9.2,1.2,79,10.3,79.4,62400,34029,18.3,14.8
-1.2,17.1,6.7,1.8,82.6,14.2,71.8,83300,40891,18.8,8.6
-1.5,15.6,0.3,0.7,69.3,8.2,75.4,62100,26156,34.2,3.1
2.6,14.5,21.5,4.8,88.1,30.4,62.7,149100,46959,16.7,-6.8
4.6,13.4,3.5,2.9,84.6,27.4,66,154300,49024,16.9,-3.7
-0.4,16.1,0.5,0.7,74.2,10.2,74.2,78700,34090,24.3,7.1
2.6,12.7,4.9,2.9,88.8,29.1,68,144300,54270,13.7,-2.3
-2.8,15.8,0.9,0.8,70.4,13,80,59600,33889,23.1,4.3
-0.3,16.9,1.3,1.1,67.2,10.1,64.4,71400,24038,34.7,8
-0.1,17,3.2,3.1,80.2,11.1,76.3,101000,39753,16.9,11.2
2,15,0.8,1.4,74.9,12.6,71.3,91300,36570,21.8,2.5
-0.3,15.9,0.4,0.7,72.9,10.8,76,80200,33525,27,11.7
-3.7,15,2.6,1.1,70.5,5.6,73.4,62200,22920,37.2,7.2
-3.5,16.2,0.3,0.4,63.1,7.3,77.8,44700,29293,22.6,-0.2
-4.7,16.7,0.6,0.7,74.8,11.5,75.4,54900,31200,25.3,2.7
0.1,16.6,0.4,0.7,73.9,10.6,79.3,59900,28388,29.1,18.2
-1.2,16.7,2.4,1.5,76.8,9.6,75.6,88500,33651,25.4,9.5
-1.7,19.9,0.6,1.5,82.3,11.3,81.2,74400,40313,16.9,12.3
0.1,17.2,6.7,2.8,76.3,13.3,71.2,89100,36590,21.2,8.7
1.3,23.4,5.7,1.6,83.5,13.3,78.3,105500,40112,16.8,12.1
-0.4,18.2,10.9,2.4,86.9,22.5,68.1,117200,44898,16.2,1.5
-2.4,14,5.8,2.4,69.8,7.3,67.9,65000,20972,30.3,8.5
-0.6,18.6,0.9,1.3,80,10.3,78.4,79000,38833,18.8,15
5.3,12.7,4.7,2.3,85.2,28,60.5,141100,42312,21.4,-1
-3.2,14.8,0.3,0.8,65.6,8.9,78.6,43700,26877,28.6,8.2
0.9,14.8,8.4,2.4,81.8,12.5,76.9,100200,38719,17,21.6
-1.6,21.1,0.4,1.4,85.1,15.3,82.3,101800,43907,11.6,11.6
-3,13.3,7.2,3.2,71.5,7.5,66,84400,26261,35.1,6.6
-1.9,16.8,6.6,1.5,80.2,14.8,71.2,99000,41137,19.3,12.4
1.9,12.3,3.9,4.3,86.3,12.7,71.8,120500,46756,16.9,17.1
-0.3,18.2,2.8,1,72.3,12.1,74.7,77300,29108,27.5,26.6
-0.1,18.1,3.9,2.5,83.9,18.9,74.9,128400,45396,16.8,6.6
-1.1,17.6,1.9,1.6,69.4,8.6,78.2,78800,31750,20,18.2
-2.4,18.4,2.3,3.1,73.2,12,73.8,72300,29808,25.2,8.1
3.7,14.8,3,2.6,78.7,14.6,65.3,109300,37312,25,10
-4.5,14.6,4.3,0.8,70.7,11.5,75.3,74500,30658,28.9,12.7
-0.9,17.8,5,1.4,77.9,11.3,79.1,79500,38105,20.4,18.1
3.2,13.5,5.3,2.1,86.8,16.6,75.4,124500,43833,18.2,12.3
-1.2,17.2,0.7,2.1,79.5,13.7,74.1,84900,43081,16,12.4
0.6,16.9,1,3.3,77.3,8,80.8,78800,40830,19.7,13.9
5.3,11.7,4.4,3.8,91.7,40.1,84.8,245700,83391,6.8,-7.7
-1.8,16.6,1,2.4,84.1,15.9,74.7,96800,41009,16.2,14.9
-5.2,17.8,0.5,1,61.4,12.4,74.4,56200,19986,37.7,3.6
-2.6,14.5,0.6,1.2,83.8,12.4,76.1,105000,45480,15.6,19.3
-3.9,15.4,1.7,0.8,69,13.5,71.8,65600,33528,25.3,-1.7
-3.1,15.9,0.8,0.8,71.9,12.5,73.1,66400,32961,23.4,7.7
-1.4,14.4,0.8,1.3,71,11.9,66.8,77800,26839,31.7,15.6
1.2,17.7,1.3,2.4,79.9,15.1,71.7,106700,34092,23.3,2.6
-3.7,22,0.3,1,72.7,12.5,74.2,81900,31786,22.8,21
-1.3,16.6,0.4,0.8,75.3,10.9,78.3,74800,30674,25.5,3.7
1.4,13.4,1.9,1.5,77.1,23.8,65.2,96700,35236,28.6,11
1.2,18.9,0.7,3.6,73.8,11.9,74.4,86600,29721,27.3,4.7
8.7,10.7,5.8,4.2,88,27.9,72,161300,61893,12.4,1.1
6.7,14,7.7,8.7,85,23.8,70.8,165000,57298,12.4,1.6
2.9,15.8,9.7,2,82.9,14.8,66.2,115200,39546,20.3,9.8
3.6,12.4,1.8,1.8,88.2,16.6,84.8,170300,65209,7.7,11.4
3,17.3,5.2,2.2,79.6,15.1,69.8,96800,36384,21.7,6.7
0.5,15.6,8.5,4.1,76.1,9.4,72.6,85000,41541,20.5,10
-1.3,21.2,7.7,1.7,82.2,18.4,81.2,115000,45629,16.1,9
-0.3,15.6,1.5,3.5,84.5,16.1,77.1,107300,49718,17.2,21.5
1.1,15,13.1,1.8,82.5,11.4,73.7,74900,39125,25.7,14.5
5.9,12,9.4,5.1,86.6,28.4,60.2,140700,44135,19.1,-1.5
2.1,17.2,6.3,3.8,80.6,15.6,82.9,107300,40845,14.2,6.6
-1.6,18.1,1.8,2.7,69.8,9.8,72.5,80500,29497,24.3,8.7
-2.8,16.4,4.3,4.7,77.4,8.4,71.9,70500,41415,14.8,14.9
-0.4,15.1,0.8,1,73.4,13.4,67.4,71500,29769,26,5
-1.9,17.8,0.3,0.7,66.3,11.8,71.9,52800,22574,40.5,13.7
2.5,15.7,5.2,6.6,88.4,31.6,72.5,185900,57580,11.6,-2.9
1.2,13.5,18.3,2.2,72.1,10.2,70.3,88600,37587,18.7,4
-0.2,13.3,23.2,2.1,76.6,11.1,72.3,79600,38429,16.1,6.4
9.2,10.2,22.9,5.2,89,24.9,81.6,167400,69070,12.3,-0.3
-1.7,15.2,29.9,2.6,71.3,9.7,82,98100,46116,18.7,11.3
-2.2,15.5,29.5,1.8,70.2,9.7,70.1,86600,33942,22.6,7.5
1.5,14.4,13.5,3.6,84.6,15,76.8,93900,46385,16.8,3.9
-3.3,19.1,41.8,1.6,79.9,11.1,71.6,58100,31543,26.9,6.1
6.9,12.8,21.7,6.4,87.7,25.2,67,146300,53248,14.3,-1.2
-0.9,14.8,48.2,2.8,85.8,22.7,62.2,121700,41053,19.5,-1.4
2.3,13.7,25.3,3.1,84.5,19.9,70.6,118300,43499,17.4,1.9
-2.3,16.5,17,2.9,74.7,8.2,74.2,66200,39385,20.2,5.5
-2.6,15,4.1,3.7,84,15.4,90,112900,64574,8.7,1.3
-2.5,15.7,32.2,1.3,69.3,11.2,77.1,68500,36165,21.8,9.5
-4.6,17.5,50.9,1.4,75.1,12.5,70,70500,32996,29.7,3
-1.7,15.2,40.7,1.2,74.2,11.3,62.1,75000,29022,31.8,6.2
1.8,16,38.1,2.8,77.7,11.3,75.4,87900,39162,22.6,6.1
1.3,12.4,46.2,3.9,88.5,34.2,61.2,166000,48506,19.2,-7.5
-3.5,13.3,67.5,2.3,65.8,9.2,56.2,48500,25321,48,8.7
-2.2,15.9,44.1,1.4,80.5,13,79.9,116600,47225,17.3,4.9
-0.8,14.3,28.4,2.5,67.8,11.4,67.4,80000,31832,24.5,7.8
-1.6,16.9,32,1.4,70.6,11.6,69.8,75200,31214,29.9,5.5
0.3,13.8,16,4.7,78.8,10.2,78,78300,39654,17.3,2.8
0.9,13.3,32.2,3.9,76.6,13.6,71.4,101200,44262,20.7,3
-0.2,13.6,49,2.6,76.6,12.8,77.1,93300,45368,19.2,6.8
-1.7,18.3,29.1,1.5,82.7,13.8,66.7,77800,37388,20.6,1.6
0.7,15.1,27.2,13.8,83.8,23.6,62.5,172500,48261,16.5,-5
-0.4,15.2,17.1,2.3,78.2,13,74,86600,41622,18.8,3.5
6.3,11.3,26.1,4.5,85.5,28.3,65.5,162500,51462,16.7,-2
1.5,13.7,13.7,4.6,73.8,14.8,77.7,126500,50572,14.1,4.9
-0.3,15.9,12.5,2.5,80.1,12.9,83.2,73900,42528,14.2,2
1.9,12.3,41.6,2.7,85.1,34.4,54.7,116900,35769,30.4,1.9
6,11.6,6.3,3.5,84.5,17.5,79.7,152500,56811,13.3,0.5
-2.1,12.9,62.1,1.7,74.5,11.2,53.9,69500,25498,40.3,5.6
-4.4,16.9,47.9,1.2,76.9,12.9,66.7,74600,28585,26.5,5
-1,15.3,41.4,2.2,81.5,21.6,62.1,97200,33953,26,2.6
11.8,12.1,59.8,5.5,84.5,33.7,47.3,183700,37146,27.3,-17.6
1.7,13.3,37.3,2.2,84.7,22.9,60.4,118200,38955,23.2,2.6
1.8,12.2,20.4,6.4,80.7,15.3,74.5,176900,55138,12.7,3.3
-1.7,18.2,35.6,2.5,81,14.3,78,113100,45363,17.7,7.1
0.7,14.9,32,2.8,82.4,18.3,66,120400,40930,19.9,1
-4.6,16.6,39.5,1.6,76.3,11.9,76.1,78700,39346,21.8,4.7
0.1,15.1,35.6,2.1,76.2,13.2,68.8,76900,36835,21.3,3
-0.1,18.5,16.9,3.8,79.9,13,76.6,75300,35159,21.7,4.6
23.7,9.8,22.3,9.6,81.2,12,69.2,127200,41353,18.7,6.2
-0.3,11.6,26.6,5.9,85.9,19.7,80.8,186400,58758,12.7,0.9
-5.2,17.6,53,1.6,80.6,10.3,82.2,80600,33143,27.4,7.8
-2.1,15.1,49.1,1.7,83.4,13,81.5,125000,55443,16.4,7.4
-4.5,12.6,55.4,5.4,80.4,14.5,77.7,149900,50635,16.1,1.2
0.4,14.8,41.3,1.9,76.4,13.2,70,83600,35503,26.8,6.6
2.2,13.3,30.5,2.5,77.1,13.3,80.3,97300,42186,18.2,6.5
-2.7,14.5,32.6,6.4,73.2,10.8,69.7,88800,41571,21,6.8
5.2,14.9,12,5.4,88.4,30.1,78,194500,60799,10.6,-2.6
4.9,12.8,30.2,3.9,80.1,19.4,68.6,135400,40654,21.2,2.7
-8,19.6,54.8,1.9,74.3,10.3,63.5,58900,27543,34.3,6.1
1.6,12.6,19,4.9,75.1,13.4,74.4,131600,49960,17.1,4.3
-1.1,18.4,26.2,4.4,82,13.1,80.2,79700,35828,27.9,4.2
2.8,13.9,14.7,3.2,75.4,12.6,75.2,96400,44665,17.1,3.6
-0.4,10.5,14.8,9.6,86.4,18.8,54.7,90800,46572,13.5,4.1
-1.9,16.3,30.4,2.1,77.1,11.2,73,81900,31778,25.7,6.4
-2.1,18.1,34,1.8,78,13.6,69.2,79300,35071,21.9,2.8
5.5,12,38.5,2.7,83.2,18,72.4,141900,50926,14.6,0.6
-0.7,17.6,16.3,3.1,71.4,9.5,70.5,68500,33848,25,4.6
-1.4,12.6,45.9,1.6,72.8,18.8,73.7,196300,61616,16.6,3.7
-3.7,16.2,30.9,1.9,74.4,11.3,72.9,64300,34322,22.6,4.1
-0.2,16,3.8,1.7,87.9,18.8,64.6,154800,44921,15.6,20.5
-3.4,21.3,0.8,1.1,85.1,16.7,71.3,90800,37855,16.3,23.5
2.2,16.4,2.9,1.9,93.7,41,68.2,241800,57461,11.4,-1.4
-1.5,19.2,0.5,1.2,91.5,23.7,77.6,132400,41626,15.6,23.2
0.5,21.5,0.7,1.3,92.5,33,74.2,198300,47460,14,6.1
-0.9,17.7,0.7,1.5,91.4,24.6,70.6,152800,46808,13.4,14.8
-0.2,22.4,0.7,1.2,92.8,30.4,78.9,195700,49755,10.8,5.8
-0.8,25.3,0.5,1,93,33.1,83.5,208000,50181,11.7,5.6
-1,19.3,0.4,1.2,89.7,18.9,78.6,137200,40674,14.9,27.3
-0.3,16.5,0.9,1.3,90.7,23.8,66.9,137700,43734,17,9.4
-2.9,23.6,0.6,1.4,87.8,16.4,76.9,105000,36646,18.5,16.1
-0.7,19.5,0.8,1.5,93.4,32.3,76.1,189700,56733,11.1,6
-2,18.9,0.5,1,87.3,15.4,78.7,111100,38642,17.8,20.9
0.7,19.7,0.5,1.1,91.2,28.2,78.5,156000,42221,16.4,6.2
-3.2,22,0.7,1.8,87.2,20,76.8,103500,37236,19.5,14.1
1.8,18,0.7,1.7,91.9,28.8,73,227800,57348,9.5,8.5
-2.8,19.2,8.2,1.6,87.3,16.8,69.8,121300,39293,17.4,10.3
4.2,13.4,16.6,7.2,90.7,37.1,74.2,340000,87430,6.3,-4.6
2.7,15.8,27.8,5,89.9,35.7,66.5,253300,66486,8.9,-4.1
2.1,13,13.2,3.5,92.9,30,81.4,357000,95477,4.9,6.9
-1.6,15.4,14.3,6.4,82.7,15,72.3,212800,58632,14.4,10.6
0.4,15.3,3.6,3,91.5,32.7,82.2,325900,84790,5.6,-0.3
1.3,13.8,6.8,4.1,87.5,22.2,74.1,254800,66689,10.4,10.3
5.6,11,43.8,5.3,91.2,26.7,79.4,297900,93160,7,-1
-0.1,19.7,28.3,4.6,83.2,18,65.9,191100,46361,16.5,7.3
4.4,12.9,9.4,8.4,91.8,38.2,75.3,307000,84570,6.1,-3.4
-1.4,20,1.1,1,86.8,18.3,75.5,168600,45206,13.9,5.1
2.2,14.6,13.4,4.2,92.4,32.7,80.2,281800,80622,7.4,1.9
7.7,12.2,18.6,6.4,94.9,60,73.9,428100,109865,4.6,-20.2
-1.9,24.4,15.1,4.3,86.7,29.6,71.4,258200,56259,13.2,1.2
6,13.7,18.8,18.7,91.2,57.1,67.3,446300,98221,6.7,-25.9
4.7,11.2,64.7,16.9,85.5,29.8,62.5,269800,73623,9.4,-8.8
2.1,17.3,6.9,3.4,91.7,33.2,84.5,348100,87256,8.1,2.4
5,12,14.5,4.7,90.3,29.5,72.9,304700,85672,7.2,4.6
-2.3,15.3,42.8,3.7,79.6,14.2,68.1,153600,38447,23.4,13.6
-0.4,26.6,13.2,6.3,89,33.3,72.5,327400,61597,8.6,-3.6
1.5,15.8,10.9,4.3,85.8,19.5,64.9,206100,55609,12.4,10
2.8,14.4,25.2,5.2,85.5,26.3,63,181900,51092,17,2.2
0.4,25.3,13.7,3.5,89.3,27.6,78.4,253400,57952,10.9,6.5
0.3,12.3,63.1,4.7,80.2,26.8,48.3,157900,41385,23.8,-2
-0.5,27.8,2.5,2.7,94.5,39.1,79,366700,60526,9.3,-10.9
-1.9,20.9,3.1,4.1,90.6,30.3,68.4,206600,48450,12.8,17.4
1.1,15.7,4.7,6.9,81.9,25.3,63.1,278100,55298,12.4,9.2
5,19.8,3.7,3.1,93.4,40.7,78.4,665300,66288,10.1,-15.3
3.5,15.6,6.3,18.6,89,36.6,63.4,349400,67311,11.2,-12.7
-0.7,18.2,1.4,3.8,92,34,68.5,219500,53663,12.1,9.5
1,15.3,10.7,23.2,83.7,24.5,61.8,197900,49094,17.7,6.9
1.8,14.7,3,5.3,93.3,42.3,67,262600,61227,13,1
4.5,14,5.5,7.5,92.1,50.7,62.7,398200,82090,8.1,-21
6.7,13.4,8.1,12.8,94,44,65.8,929700,85478,10.4,-17.6
3.2,15.7,6.9,4,93.7,49.2,69.3,391100,84916,6.6,-19.4
2.4,16.2,10,3.6,92.1,33.5,77.1,332100,75092,7.6,-8.6
6.3,11,24.7,21.8,83.9,40.4,35.5,358700,53540,20.8,-20.8
1.9,14.1,5.3,10.5,89.4,33.8,65.7,259200,65223,11.2,-7.3
-4.5,34.8,0.3,1.5,86.9,13,89.8,102800,37189,15.1,15.9
-1.5,23.7,6.9,1.3,89.4,17.1,84.9,117100,37586,14.8,13.2
2.2,15.1,1.4,7.1,90,20.2,81.9,140200,52061,13.5,3.9
-2.1,21.5,0.4,1.3,88,16,77.6,96400,38016,17.3,18.8
-1.3,25.2,0.3,2,90.7,23.8,85,141300,45362,15.4,3.9
-3.4,22.5,0.4,1.9,84.3,11.4,83.8,90200,38874,18.1,21.8
-2.3,19.1,7.8,1.4,82,12,79.3,84000,41189,13.2,15.8
0.2,16.9,0.5,2.6,91.1,17.7,83.5,133900,52186,11.7,8.5
-1.5,18.3,1.7,5,89,18.2,78.1,93800,45376,14.7,15.2
0,23.9,0.6,2.3,90.3,24.9,83.9,149700,47366,13.3,5.2
-1,17.8,15.4,5.1,87.4,24.2,72.1,129300,43633,17.5,1.8
-3.8,16.6,2.2,4.3,86.4,13.4,78,98000,41856,18.7,13.7
-0.9,16.4,11.1,4.8,88.8,19.5,69.7,98300,42110,17.8,10.1
-1.3,19.4,5.4,3.5,87.2,16.2,83.6,124800,44346,14.5,8.6
0.7,21.5,0.5,1.8,91.6,27,81.6,151400,45949,13.3,4.7
-1.8,24.7,0.6,1.4,87.8,16.3,81.1,112500,38410,17.8,16
-0.9,16.1,6.9,1.8,89.8,18.5,70.3,101600,41637,17.7,11.1
-0.9,21.8,0.7,1.9,83.9,11.1,80.4,80000,32668,26.5,22.7
2.5,15.3,1.9,4.4,92.9,28.2,80.8,156300,60466,11.1,1.2
-2.3,24,0.8,1.8,85.4,15.2,82.1,96400,40295,16.8,16
-1.4,21.4,0.3,1.1,91.4,18.2,79.3,100200,42676,16.4,13.9
-0.8,20.4,0.5,1.4,93.8,20,81.2,85500,44136,12.7,8.6
0.8,16.4,7,5.3,93.4,24.6,72.6,138300,54115,10.8,3.5
1.6,19.7,0.7,1.6,93.8,31.8,77.4,167700,50929,10.9,-2.5
-3,15.7,20.6,3.2,88.7,18.9,70.3,91700,42089,21,21.1
-1.1,25.1,0.5,1.3,83.9,11.8,84.5,103300,37626,21.4,22.7
-4.2,22.9,4.5,1.2,91.7,18.3,75.5,66800,34252,20.3,20.9
4.4,17.1,1.3,2.7,93.3,30.4,75.4,168300,51766,11.7,-3.8
-1.9,16.4,5.6,5.7,87.7,14,76.1,86600,40359,19.1,16.8
-1.8,17.7,0.7,2.1,87,15.3,80,103700,41759,19.7,15.4
-0.4,16.1,0.9,1.4,91,28.9,69.6,88400,35430,23,-0.1
-3.2,23.4,0.5,2.1,86.9,13.7,81.6,96100,40204,15.8,17.9
1.3,11.9,12.2,7.6,91.1,36.5,59.3,120500,45321,21.9,-6.5
0.6,13,4.9,4.7,87.9,14,78.2,111000,47892,15.8,11.6
-1.8,27.9,0.6,2.1,87.4,14,81.3,90300,36236,19,20.7
-3.6,28.2,0.3,1.7,89.2,18.4,84.5,75100,34685,14.2,15.5
0.4,11,2.7,3.7,90.1,25.3,58.7,119800,36372,31.5,8.7
-0.3,16,8.3,3.4,89.1,18.8,73.1,112800,46615,17,9.2
3.4,13.5,11.4,4.7,92.6,34,64.7,136700,45775,19.1,-5.5
1.4,19,0.6,1.9,85.9,12.1,81.2,98800,40140,16.3,17.8
4.4,12.2,10.4,10.1,89.4,31.7,70.1,137500,51667,15.5,-9.6
2.8,30.9,0.2,1,92.8,23.9,85.9,101700,39038,15.8,2.2
-1.7,26.2,9.1,2.5,80.3,8.4,81.3,79700,29379,27.9,26
-0.2,15.9,1.2,4.5,90.2,17,83.1,137600,52939,11,20.7
1,27.7,0.5,4.1,94.2,39.2,85.1,235600,55018,11.2,-7.1
-0.8,16.8,2.8,7.7,89.1,19.3,77.8,116900,47766,14.1,15
2.6,14.7,0.6,2.2,94.4,32.9,85.1,183100,72359,6.2,1.5
-3.1,20.1,11.5,1.4,85.8,12.7,75.1,79400,39469,18.6,12.5
-0.6,25.5,1.6,1.6,88.3,18.5,76.8,119300,38704,15.3,10.3
2.3,15.6,11,2.5,88.2,22.5,75.5,123100,53451,12.5,12.7
-1.3,23.4,3.3,3,88.8,19.1,79.1,109900,41551,16.9,18.5
0.9,16.6,1.7,1.5,93.5,29.1,70.2,126600,45622,15.7,5.2
0.4,21.2,0.9,4.6,89.5,19.8,74.1,117000,41136,16.2,11.7
0.9,16.9,3,2.1,89.8,21.6,72.9,112200,39470,22.9,10.5
-1.3,21.6,0.6,1.7,90.2,14.4,80.8,95300,41739,13.6,22.2
-0.2,16.4,1.4,2.5,92.2,32.3,75.4,128600,53076,13.4,-1.6
1.3,19.1,0.5,2.6,86,13,80.8,99400,41061,15.1,11.1
-1.4,15.7,2.4,3.4,89.3,18,79.2,139100,53972,12.3,19.2
-0.7,16,2.4,3.4,87.4,13.4,79.2,95000,40451,18.6,18.6
-4.8,29.4,0.4,1.3,84.9,9.9,85.8,93700,35261,18.1,20.5
0.1,15.1,14.4,5.3,88,17.2,74.4,100900,40979,19.9,14.8
-1.2,17.9,1.3,5.9,85.9,12.9,84.1,104100,42571,18.6,15.4
3,15.1,14.5,3.8,92.7,43.1,71.5,170500,65594,10.3,-4.4
-1.3,19.1,0.8,14.4,84.1,15,81.7,106100,40023,19.9,11.3
-3,24.3,0.4,2,85.1,11.3,82.8,89500,34619,21.5,25.3
-9,32.1,0.3,1.1,88.6,15.3,85.8,72600,34620,13.8,12.2
-1.5,19.1,0.8,1.6,86.9,12.6,78.2,90500,37788,21.7,15.7
-3.1,26.1,0.3,1.4,82.6,10.4,85.3,83000,33239,20.2,22.1
0,19.6,0.6,1.5,91,19.8,79.4,116600,47584,13.5,11.4
4.7,13.2,1.8,9.4,90.9,30,78.1,153200,56453,11.2,-6.7
-2.8,28.7,0.6,1.2,86.8,16.3,87.5,95000,39652,12.9,16
-2,30,0.6,1.5,85.1,12.9,81.1,92000,33334,22.2,21.5
-2.6,17.3,19.4,8.1,87,19.1,72.7,97800,42331,19.2,10.6
-1.8,16.7,2.6,3.2,89,16.3,76.8,121600,48066,14.9,18.7
-0.6,16.5,2.8,7.2,84.4,14.5,76.4,108900,44051,17.6,12.6
-3.5,19.5,0.5,3.7,86.8,11.4,80.8,96500,40478,16.8,17
-3.7,24.1,0.3,0.9,89.9,12.4,84.1,86200,35260,20.7,16.3
-2.4,16.4,0.7,2.9,90.6,14.2,77.3,108300,46217,15.3,18.9
-3.1,18.3,1.2,3.3,86.8,12.7,81.7,95700,43039,15.7,21.5
-1.4,16,4.2,11.1,85.3,17.9,78,118700,45129,19.4,9.5
3.4,12,12.8,4.4,94,51.3,60.8,198400,59055,15.4,-14.7
-3.1,13.8,39.3,5.7,84.1,21.3,64.8,86800,41184,24.5,12.4
0.5,17.6,0.6,1.8,88,16.8,76.8,100100,40965,18.6,13.8
-2.7,30.1,0.4,1.2,90,14.7,81.8,168700,41617,12.1,20.7
3.3,11.9,5.4,4,93.3,26.9,81.4,192300,70380,7.4,0.8
2.3,19.3,0.6,1.8,90.4,21.3,79,171500,50214,12.9,12.9
2.7,14.4,0.8,2,90.1,26.9,70.7,147100,43231,21.9,15.2
2.7,13.5,2.5,2,91.2,20.3,70.3,158200,52200,14.5,16.3
-2.7,25.7,0.4,1.1,90.6,17.6,80.1,91300,46313,12.4,18.3
2.1,13,3.5,3.2,93.8,30.5,66.4,158100,49935,19.2,7.5
-2.3,20,0.4,3.7,90.5,20.9,77.5,121900,48256,9.4,11.5
0.5,16.3,1.6,1.7,92.2,21.3,78.2,159000,53016,12.5,25.9
6.9,10,1.6,4.1,95.5,44.5,81.7,264700,83773,5,-10.7
0,23.8,0.4,1.7,90.8,19.6,80.8,177100,45045,16.4,12.8
-2.7,20.2,0.7,5.7,87.7,17.3,71.8,101100,49434,10.6,26.7
0.3,13.9,1.3,1.9,93.4,21,84.6,197000,67157,7.5,11.1
3.9,12.7,1.7,4.3,93.7,30.3,69.3,155200,52410,12.3,3.7
1.1,19.5,0.4,1.6,85.4,13.3,79.5,118300,43269,16.5,22.8
1.1,24.3,0.6,1.9,94.8,37.4,73.1,240500,52215,8.3,-6.9
-0.5,22.5,1,7.4,88.4,17.2,79,86800,45294,13.7,13.9
1.2,20.7,0.6,1.4,92,22.5,74.5,180300,47058,12.9,12.3
3.5,12.1,5.7,6.6,94.7,38.7,75.8,223300,73732,7.6,-8.5
1.3,13.2,0.7,4.9,92.2,23.6,85.8,161100,69301,7.4,14.9
2.2,21.6,0.5,1.4,92.6,23.6,76.3,187300,50905,10.8,13.5
-2.5,22.5,0.5,6.2,89.8,16.9,78.7,85800,44264,12.8,18.7
-0.4,20.4,0.4,1.2,89.3,18.4,78.6,135200,50657,12.1,26.2
-1.3,21.5,1.1,9.5,88,14.8,77.3,104000,44683,11,32.1
0.5,18.5,1.2,3.1,91.6,22.9,77.1,181800,56836,9.9,8.8
-1,23.3,0.5,1.9,90.3,18.3,80.3,98600,50030,10.1,18.6
5.2,12.5,12.6,6.8,92.3,45.8,63.7,230900,64403,12.8,-19.5
-1.5,19.4,0.6,0.8,91.9,22.7,80.9,156500,52545,10.9,12.4
0.7,23.6,0.4,1.8,92.2,23.6,81.4,170400,45961,13.2,10.3
1.6,14.6,0.8,1.8,91.6,16.5,81.2,172000,57353,8,12.6
1.2,21,0.4,1.3,92.8,21.4,80.8,152200,46912,12.5,24
0,19.9,0.6,3.3,91.5,17.7,78.9,97700,51681,11.7,17.7
-1.9,18.6,0.6,1.7,86.5,13.1,80.5,145600,47068,13.5,20.8
