percent_population_change,percent_people_over_65,percent_african_american,percent_hispanic,percent_hs_grad,percent_bachelor,rate_homeownership,median_house_value,median_hh_income,percent_poverty,percent_vote_difference
-1.2,14.7,2.9,10.9,86.8,22.3,70.1,211100,59333,11.4,19.8
5.9,15.6,25.2,6.9,85.2,21.4,72.3,199500,55149,12.9,6.5
2.7,13.8,24.9,9.4,89.4,33.8,70,246300,64537,10.7,1.4
7,24.2,12.8,9.3,85.6,22.2,79,236600,52710,13.4,5.8
9.5,11.3,49,10.4,88.4,52.4,42.1,445200,65830,18.6,-42.1
3.7,12.5,20.5,9.1,91.2,40.5,54.1,167900,42149,24.9,-10.1
-0.1,12.9,13.5,2.4,80.1,10,79.7,124300,49236,17.3,3.2
6,16.1,11.3,5.7,87,21.1,62.5,157600,47461,14.7,-0.1
-6.4,17.6,19.1,3.8,75.5,9.2,77.8,108000,40259,18.2,4.3
2.5,22.6,10.7,9.3,90.2,26.3,73.5,144900,48039,13.5,3.6
6.9,15.3,28.9,27.5,87.8,29.9,65.9,181500,51251,14.3,-2.7
-0.6,17.3,13.6,5.8,73.5,7.8,79,70000,32780,23.5,7.9
5.3,37.7,6.2,6.7,88.8,21.2,79,143700,44378,12.6,10.3
-1.3,35.2,3.1,5.2,86,16.6,82.6,117400,39100,16.8,13.1
4.7,14.2,10.9,9.2,90.2,24,76.6,158600,59482,9.8,-2.9
